epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.0581,1.73523,3.94028,3.17487,1.84606,0.4912,0.24146,0.24163,0.13349,0.48556,0.23336,0.22405,0.10968,1.67312,3.38984,2.3775,1.75815,0.0702041,0.00331066,0.00331066
2,168.608,1.49762,3.25211,2.01762,1.62014,0.4736,0.37144,0.35777,0.20668,0.49324,0.34585,0.33984,0.17253,1.62948,3.05699,2.03841,1.72789,0.0401602,0.00660014,0.00660014
3,217.403,1.46774,3.15104,1.83162,1.57585,0.43377,0.33971,0.29887,0.15997,0.40363,0.30805,0.25957,0.12882,1.7318,3.31999,2.98421,1.84686,0.0100724,0.00984562,0.00984562
4,265.402,1.43908,3.04054,1.69795,1.55299,0.61214,0.38524,0.42053,0.24824,0.6203,0.3639,0.39662,0.20778,1.67484,3.03247,1.88354,1.75588,0.009802,0.009802,0.009802
5,313.193,1.40552,2.99302,1.58924,1.53233,0.61044,0.43903,0.47735,0.28132,0.59711,0.42515,0.46251,0.23678,1.47052,2.90398,1.65584,1.62495,0.009736,0.009736,0.009736
6,361.601,1.37618,2.95821,1.50045,1.4984,0.60671,0.44368,0.4846,0.28968,0.62044,0.42117,0.46294,0.24072,1.51414,2.95682,1.7693,1.62743,0.00967,0.00967,0.00967
7,409.489,1.30712,2.85016,1.38112,1.44924,0.71894,0.50472,0.58117,0.39554,0.70366,0.49832,0.5593,0.31994,1.32577,2.66799,1.39581,1.50231,0.009604,0.009604,0.009604
8,457.859,1.27048,2.7409,1.32916,1.4214,0.73074,0.5085,0.58675,0.38926,0.7345,0.49904,0.57457,0.31236,1.36528,2.70272,1.76175,1.52092,0.009538,0.009538,0.009538
9,658.436,1.23747,2.68631,1.27471,1.38885,0.73361,0.55734,0.61783,0.41787,0.71914,0.54409,0.58763,0.32773,1.32529,2.6425,1.52285,1.50452,0.009472,0.009472,0.009472
10,706.456,1.19733,2.67471,1.2142,1.37731,0.76858,0.52642,0.60602,0.41188,0.73508,0.50276,0.55576,0.3168,1.32704,2.64893,1.38623,1.50471,0.009406,0.009406,0.009406
11,754.341,1.18662,2.6226,1.18331,1.36776,0.70664,0.57286,0.62558,0.4323,0.73374,0.54474,0.60014,0.34152,1.32288,2.62735,1.34034,1.51612,0.00934,0.00934,0.00934
12,807.037,1.17585,2.58989,1.14872,1.35083,0.68247,0.54339,0.54386,0.38092,0.66681,0.52842,0.51266,0.29466,1.35864,2.75164,2.47648,1.53412,0.009274,0.009274,0.009274
13,855.196,1.15073,2.50595,1.13087,1.33396,0.67218,0.61012,0.63058,0.44698,0.66352,0.60249,0.61001,0.34825,1.2386,2.4631,1.26833,1.42818,0.009208,0.009208,0.009208
14,903.241,1.11505,2.45753,1.07099,1.30989,0.86417,0.60078,0.6938,0.50619,0.85348,0.58739,0.6691,0.39677,1.21598,2.39699,1.14524,1.40558,0.009142,0.009142,0.009142
